Item,Enchantment,Description,Gems,Source
Helmet,Enchantment Puncture Maim On Hit Percent Chance 2,30% Chance for Puncture to Maim on hit,Puncture,Eternal Labyrinth
Helmet,Enchantment Frenzy Percent Chance To Gain Additional Frenzy Charge 2,30% Chance on Frenzy to gain an additional Frenzy Charge,Frenzy,Eternal Labyrinth
Helmet,Enchantment Storm Burst Avoid Stun While Casting 1,30% chance to Avoid interruption from Stuns while Casting Storm Burst,Storm Burst,Merciless Labyrinth
Helmet,Enchantment Power Siphon Percent Chance To Gain Power Charge On Kill 1,30% Chance to gain an additional Power Charge on Kill with Power Siphon,Power Siphon,Merciless Labyrinth
Helmet,Enchantment Absolution Duration 2,30% increased Absolution Duration,Absolution,Eternal Labyrinth
Belt,Enchantment Onslaught,30% increased Accuracy Rating while you have Onslaught,,Eternal Labyrinth of Potential
Helmet,Enchantment Ambush Cooldown Recovery 2,30% increased Ambush Cooldown Recovery Rate,Ambush,Eternal Labyrinth
Helmet,Enchantment Animate Weapon Duration 2,30% increased Animate Weapon Duration,Animate Weapon,Eternal Labyrinth
Helmet,Enchantment Assassins Mark Curse Effect 2,30% increased Assassin's Mark Curse Effect,Assassin's Mark,Eternal Labyrinth
Helmet,Enchantment Assassins Mark Duration 1,30% increased Assassin's Mark Duration,Assassin's Mark,Merciless Labyrinth
Helmet,Enchantment Blade Vortex Duration 2,30% increased Blade Vortex Duration,Blade Vortex,Eternal Labyrinth
Helmet,Enchantment Bone Offering Duration 1,30% increased Bone Offering Duration,Bone Offering,Merciless Labyrinth
Helmet,Enchantment Caustic Arrow Duration 2,30% increased Caustic Arrow Duration,Caustic Arrow,Eternal Labyrinth
Helmet,Enchantment Conductivity Curse Effect 2,30% increased Conductivity Curse Effect,Conductivity,Eternal Labyrinth
Helmet,Enchantment Conductivity Duration 1,30% increased Conductivity Duration,Conductivity,Merciless Labyrinth
Helmet,Enchantment Contagion Duration 2,30% increased Contagion Duration,Contagion,Eternal Labyrinth
Helmet,Enchantment Corrupting Fever Duration 2,30% increased Corrupting Fever Duration,Corrupting Fever,Eternal Labyrinth
Helmet,Enchantment Desecrate Duration 2,30% increased Desecrate Duration,Desecrate,Eternal Labyrinth
Helmet,Enchantment Despair Effect 2,30% increased Despair Curse Effect,Despair,Eternal Labyrinth
Helmet,Enchantment Despair Duration 1,30% increased Despair Duration,Despair,Merciless Labyrinth
Helmet,Enchantment Elemental Weakness Curse Effect 2,30% increased Elemental Weakness Curse Effect,Elemental Weakness,Eternal Labyrinth
Helmet,Enchantment Elemental Weakness Duration 1,30% increased Elemental Weakness Duration,Elemental Weakness,Merciless Labyrinth
Helmet,Enchantment Enfeeble Curse Effect 2,30% increased Enfeeble Curse Effect,Enfeeble,Eternal Labyrinth
Helmet,Enchantment Enfeeble Duration 1,30% increased Enfeeble Duration,Enfeeble,Merciless Labyrinth
Helmet,Enchantment Essence Drain Duration 2,30% increased Essence Drain Duration,Essence Drain,Eternal Labyrinth
Helmet,Enchantment Ethereal Knives Projectile Speed 2,30% increased Ethereal Knives Projectile Speed,Ethereal Knives,Eternal Labyrinth
Helmet,Enchantment Exsanguinate Duration 2,30% increased Exsanguinate Duration,Exsanguinate,Eternal Labyrinth
Helmet,Enchantment Eye of Winter Projectile Speed 2,30% increased Eye of Winter Projectile Speed,Eye of Winter,Eternal Labyrinth
Helmet,Enchantment Fire Trap Burning Ground Duration 1,30% increased Fire Trap Burning Ground Duration,Fire Trap,Merciless Labyrinth
Helmet,Enchantment Fire Trap Cooldown Speed 2,30% increased Fire Trap Damage,Fire Trap,Eternal Labyrinth
Helmet,Enchantment Firestorm Duration 2,30% increased Firestorm Duration,Firestorm,Eternal Labyrinth
Helmet,Enchantment Flammability Curse Effect 2,30% increased Flammability Curse Effect,Flammability,Eternal Labyrinth
Helmet,Enchantment Flammability Duration 1,30% increased Flammability Duration,Flammability,Merciless Labyrinth
Helmet,Enchantment Flesh Offering Duration 1,30% increased Flesh Offering Duration,Flesh Offering,Merciless Labyrinth
Helmet,Enchantment Forbidden Rite Projectile Speed 2,30% increased Forbidden Rite Projectile Speed,Forbidden Rite,Eternal Labyrinth
Helmet,Enchantment Freezing Pulse Projectile Speed 2,30% increased Freezing Pulse Projectile Speed,Freezing Pulse,Eternal Labyrinth
Helmet,Enchantment Frost Blades Projectile Speed 2,30% increased Frost Blades Projectile Speed,Frost Blades,Eternal Labyrinth
Helmet,Enchantment Frostbite Curse Effect 2,30% increased Frostbite Curse Effect,Frostbite,Eternal Labyrinth
Helmet,Enchantment Frostbite Duration 1,30% increased Frostbite Duration,Frostbite,Merciless Labyrinth
Helmet,Enchantment Ice Trap Cooldown Speed 2,30% increased Ice Trap Damage,Ice Trap,Eternal Labyrinth
Helmet,Enchantment Incinerate Projectile Speed 2,30% increased Incinerate Damage,Incinerate,Eternal Labyrinth
Helmet,Enchantment Lightning Trap Cooldown Speed 2,30% increased Lightning Trap Damage,Lightning Trap,Eternal Labyrinth
Boots,Enchantment Mana Regeneration 1,30% increased Mana Regeneration Rate if you've cast a Spell Recently,,Cruel Labyrinth
Helmet,Enchantment Poachers Mark Curse Effect 2,30% increased Poacher's Mark Curse Effect,Poacher's Mark,Eternal Labyrinth
Helmet,Enchantment Poachers Mark Duration 1,30% increased Poacher's Mark Duration,Poacher's Mark,Merciless Labyrinth
Helmet,Enchantment Puncture Duration 1,30% increased Puncture Duration,Puncture,Merciless Labyrinth
Helmet,Enchantment Punishment Curse Effect 2,30% increased Punishment Curse Effect,Punishment,Eternal Labyrinth
Helmet,Enchantment Punishment Duration 1,30% increased Punishment Duration,Punishment,Merciless Labyrinth
Helmet,Enchantment Rejuvination Totem Life Regeneration 1,30% increased Rejuvenation Totem Aura Effect,Rejuvenation Totem,Merciless Labyrinth
Helmet,Enchantment Dominating Blow Duration 2,30% increased Sentinel of Dominance Duration,Dominating Blow,Eternal Labyrinth
Helmet,Enchantment Smoke Mine Duration 2,30% increased Smoke Mine Duration,Smoke Mine,Eternal Labyrinth
Helmet,Enchantment Spark Projectile Speed 2,30% increased Spark Projectile Speed,Spark,Eternal Labyrinth
Helmet,Enchantment Spectral Helix Projectile Speed 2,30% increased Spectral Helix Projectile Speed,Spectral Helix,Eternal Labyrinth
Helmet,Enchantment Spectral Shield Throw Projectile Speed 2,30% increased Spectral Shield Throw Projectile Speed,Spectral Shield Throw,Eternal Labyrinth
Helmet,Enchantment Spectral Throw Projectile Speed 2,30% increased Spectral Throw Projectile Speed,Spectral Throw,Eternal Labyrinth
Helmet,Enchantment Spirit Offering Duration 1,30% increased Spirit Offering Duration,Spirit Offering,Merciless Labyrinth
Helmet,Enchantment Static Strike Duration 1,30% increased Static Strike Duration,Static Strike,Merciless Labyrinth
Helmet,Enchantment Summon Reaper Cooldown Recovery 2,30% increased Summon Reaper Cooldown Recovery Rate,Summon Reaper,Eternal Labyrinth
Helmet,Enchantment Temporal Chains Curse Effect 2,30% increased Temporal Chains Curse Effect,Temporal Chains,Eternal Labyrinth
Helmet,Enchantment Temporal Chains Duration 1,30% increased Temporal Chains Duration,Temporal Chains,Merciless Labyrinth
Helmet,Enchantment Vigilant Strike Fortify Duration 1,30% increased Vigilant Strike Fortify Duration,Vigilant Strike,Merciless Labyrinth
Helmet,Enchantment Viper Strike Poison Duration 2,30% increased Viper Strike Duration,Viper Strike,Eternal Labyrinth
Helmet,Enchantment Vortex Duration 2,30% increased Vortex Duration,Vortex,Eternal Labyrinth
Helmet,Enchantment Vulnerability Curse Effect 2,30% increased Vulnerability Curse Effect,Vulnerability,Eternal Labyrinth
Helmet,Enchantment Vulnerability Duration 1,30% increased Vulnerability Duration,Vulnerability,Merciless Labyrinth
Helmet,Enchantment Warlords Mark Curse Effect 2,30% increased Warlord's Mark Curse Effect,Warlord's Mark,Eternal Labyrinth
Helmet,Enchantment Warlords Mark Duration 1,30% increased Warlord's Mark Duration,Warlord's Mark,Merciless Labyrinth
Helmet,Enchantment Ball Lightning Projectile Speed 1,30% reduced Ball Lightning Projectile Speed,Ball Lightning,Merciless Labyrinth
Helmet,Enchantment Earthquake Duration 2,30% reduced Earthquake Duration,Earthquake,Eternal Labyrinth
Belt,Enchantment Consecrated Ground,30% reduced Effect of Curses on you while on Consecrated Ground,,Eternal Labyrinth of Potential
Helmet,Enchantment Lightning Warp Duration 2,30% reduced Lightning Warp Duration,Lightning Warp,Eternal Labyrinth
Helmet,Enchantment Spectral Throw Projectile Deceleration 2,30% reduced Spectral Throw Projectile Deceleration,Spectral Throw,Eternal Labyrinth
Helmet,Enchantment Storm Call Duration 2,30% reduced Storm Call Duration,Storm Call,Eternal Labyrinth
Helmet,Enchantment Ice Spear Second Form Critical Strike Chance 2,300% increased Ice Spear Critical Strike Chance in second form,Ice Spear,Eternal Labyrinth
Helmet,Enchantment Arctic Armour Buff Effect 2,36% increased Arctic Armour Buff Effect,Arctic Armour,Eternal Labyrinth
Helmet,Enchantment Convocation Life Regeneration 2,36% increased Convocation Buff Effect,Convocation,Eternal Labyrinth
Helmet,Enchantment Creeping Frost Duration 2,36% increased Creeping Frost Duration,Creeping Frost,Eternal Labyrinth
Helmet,Enchantment Devouring Totem Leech Per Second 2,36% increased Devouring Totem Leech per second,Devouring Totem,Eternal Labyrinth
Helmet,Enchantment Dominating Blow Attack Damage 2,36% increased Dominating Blow Damage,Dominating Blow,Eternal Labyrinth
Helmet,Enchantment Frost Wall Duration 2,36% increased Frost Wall Duration,Frost Wall,Eternal Labyrinth
Helmet,Enchantment Immortal Call Duration 2,36% increased Immortal Call Duration,Immortal Call,Eternal Labyrinth
Helmet,Enchantment Phase Run Duration 2,36% increased Phase Run Duration,Phase Run,Eternal Labyrinth
Helmet,Enchantment Searing Bond Totem Elemental Resistances 2,36% increased Searing Bond Totem Elemental Resistances,Searing Bond,Eternal Labyrinth
Helmet,Enchantment Wild Strike Area Of Effect 2,36% increased Wild Strike Area of Effect,Wild Strike,Eternal Labyrinth
Helmet,Enchantment Charged Dash Dodge When Finished Channelling 1,4% chance to Dodge Attack Hits if you have finished Channelling Charged Dash Recently,Charged Dash,Merciless Labyrinth
Helmet,Enchantment Summon Skeletons Additional Warrior Skeletons 2,40% chance to Summon an additional Skeleton Warrior with Summon Skeleton,Summon Skeletons,Eternal Labyrinth
Helmet,Enchantment Ancestral Warchief Damage 2,40% increased Ancestral Warchief Totem Damage,Ancestral Warchief,Eternal Labyrinth
Helmet,Enchantment Arc Damage 2,40% increased Arc Damage,Arc,Eternal Labyrinth
Helmet,Enchantment Ball Lightning Damage 2,40% increased Ball Lightning Damage,Ball Lightning,Eternal Labyrinth
Helmet,Enchantment Barrage Damage 2,40% increased Barrage Damage,Barrage,Eternal Labyrinth
Helmet,Enchantment Bear Trap Damage 2,40% increased Bear Trap Damage,Bear Trap,Eternal Labyrinth
Helmet,Enchantment Blade Flurry Damage 2,40% increased Blade Flurry Damage,Blade Flurry,Eternal Labyrinth
Helmet,Enchantment Blade Trap Damage 2,40% increased Blade Trap Damage,Blade Trap,Eternal Labyrinth
Helmet,Enchantment Blade Vortex Damage 2,40% increased Blade Vortex Spell Damage,Blade Vortex,Eternal Labyrinth
Helmet,Enchantment Bladefall Damage 2,40% increased Bladefall Damage,Bladefall,Eternal Labyrinth
Helmet,Enchantment Blight Damage 2,40% increased Blight Damage,Blight,Eternal Labyrinth
Helmet,Enchantment Body Swap Damage 2,40% increased Bodyswap Damage,Bodyswap,Eternal Labyrinth
Helmet,Enchantment Boneshatter Damage 2,40% increased Boneshatter Damage,Boneshatter,Eternal Labyrinth
Helmet,Enchantment Boneshatter Stun Duration 2,40% increased Boneshatter Stun Duration,Boneshatter,Eternal Labyrinth
Helmet,Enchantment Burning Arrow Damage 2,40% increased Burning Arrow Damage,Burning Arrow,Eternal Labyrinth
Helmet,Enchantment Caustic Arrow Damage 2,40% increased Caustic Arrow Damage,Caustic Arrow,Eternal Labyrinth
Helmet,Enchantment Charged Dash Damage 2,40% increased Charged Dash Damage,Charged Dash,Eternal Labyrinth
Helmet,Enchantment Cleave Damage 2,40% increased Cleave Damage,Cleave,Eternal Labyrinth
Helmet,Enchantment Cold Snap Damage 2,40% increased Cold Snap Damage,Cold Snap,Eternal Labyrinth
Helmet,Enchantment Contagion Damage 2,40% increased Contagion Damage,Contagion,Eternal Labyrinth
Helmet,Enchantment Creeping Frost Damage 2,40% increased Creeping Frost Damage,Creeping Frost,Eternal Labyrinth
Helmet,Enchantment Cremation Damage 2,40% increased Cremation Damage,Cremation,Eternal Labyrinth
Helmet,Enchantment Cyclone Damage 2,40% increased Cyclone Damage,Cyclone,Eternal Labyrinth
Helmet,Enchantment Dark Pact Damage 2,40% increased Dark Pact Damage,Dark Pact,Eternal Labyrinth
Helmet,Enchantment Decoy Totem Life 1,40% increased Decoy Totem Life,Decoy Totem,Merciless Labyrinth
Helmet,Enchantment Detonate Dead Damage 2,40% increased Detonate Dead Damage,Detonate Dead,Eternal Labyrinth
Helmet,Enchantment Discharge Damage 2,40% increased Discharge Damage,Discharge,Eternal Labyrinth
Helmet,Enchantment Double Strike Damage 2,40% increased Double Strike Damage,Double Strike,Eternal Labyrinth
Helmet,Enchantment Dual Strike Damage 2,40% increased Dual Strike Damage,Dual Strike,Eternal Labyrinth
Helmet,Enchantment Earthquake Damage 2,40% increased Earthquake Damage,Earthquake,Eternal Labyrinth
Helmet,Enchantment Essence Drain Damage 2,40% increased Essence Drain Damage,Essence Drain,Eternal Labyrinth
Helmet,Enchantment Ethereal Knives Damage 2,40% increased Ethereal Knives Damage,Ethereal Knives,Eternal Labyrinth
Helmet,Enchantment Explosive Concoction Damage 2,40% increased Explosive Concoction Damage,Explosive Concoction,Eternal Labyrinth
Helmet,Enchantment Eye of Winter Damage 2,40% increased Eye of Winter Damage,Eye of Winter,Eternal Labyrinth
Helmet,Enchantment Fire Trap Burning Damage 1,40% increased Fire Trap Burning Damage,Fire Trap,Merciless Labyrinth
Helmet,Enchantment Fire Trap Damage 2,40% increased Fire Trap Damage,Fire Trap,Eternal Labyrinth
Helmet,Enchantment Fireball Damage 2,40% increased Fireball Damage,Fireball,Eternal Labyrinth
Helmet,Enchantment Firestorm Damage 2,40% increased Firestorm Damage,Firestorm,Eternal Labyrinth
Helmet,Enchantment Flame Dash Damage 2,40% increased Flame Dash Damage,Flame Dash,Eternal Labyrinth
Helmet,Enchantment Flame Surge Damage 2,40% increased Flame Surge Damage,Flame Surge,Eternal Labyrinth
Helmet,Enchantment Flame Surge Vs Burning Enemies 1,40% increased Flame Surge Damage against Burning Enemies,Flame Surge,Merciless Labyrinth
Helmet,Enchantment Flameblast Damage 2,40% increased Flameblast Damage,Flameblast,Eternal Labyrinth
Helmet,Enchantment Flicker Strike Damage 2,40% increased Flicker Strike Damage,Flicker Strike,Eternal Labyrinth
Helmet,Enchantment Forbidden Rite Damage 2,40% increased Forbidden Rite Damage,Forbidden Rite,Eternal Labyrinth
Helmet,Enchantment Freezing Pulse Damage 2,40% increased Freezing Pulse Damage,Freezing Pulse,Eternal Labyrinth
Helmet,Enchantment Frenzy Damage 2,40% increased Frenzy Damage,Frenzy,Eternal Labyrinth
Helmet,Enchantment Frost Blades Damage 2,40% increased Frost Blades Damage,Frost Blades,Eternal Labyrinth
Helmet,Enchantment Frost Bomb Damage 2,40% increased Frost Bomb Damage,Frost Bomb,Eternal Labyrinth
Helmet,Enchantment Frost Bolt Damage 2,40% increased Frostbolt Damage,Frostbolt,Eternal Labyrinth
Helmet,Enchantment Shrapnel Shot Damage 2,40% increased Galvanic Arrow Damage,Galvanic Arrow,Eternal Labyrinth
Helmet,Enchantment Glacial Cascade Damage 2,40% increased Glacial Cascade Damage,Glacial Cascade,Eternal Labyrinth
Helmet,Enchantment Glacial Hammer Damage 2,40% increased Glacial Hammer Damage,Glacial Hammer,Eternal Labyrinth
Helmet,Enchantment Ground Slam Damage 2,40% increased Ground Slam Damage,Ground Slam,Eternal Labyrinth
Helmet,Enchantment Heavy Strike Damage 2,40% increased Heavy Strike Damage,Heavy Strike,Eternal Labyrinth
Helmet,Enchantment Herald Of Ash Damage 2,40% increased Herald of Ash Damage,Herald of Ash,Eternal Labyrinth
Helmet,Enchantment Herald Of Ice Damage 2,40% increased Herald of Ice Damage,Herald of Ice,Eternal Labyrinth
Helmet,Enchantment Herald Of Thunder Damage 2,40% increased Herald of Thunder Damage,Herald of Thunder,Eternal Labyrinth
Helmet,Enchantment Ice Crash Damage 2,40% increased Ice Crash Damage,Ice Crash,Eternal Labyrinth
Helmet,Enchantment Ice Nova Damage 2,40% increased Ice Nova Damage,Ice Nova,Eternal Labyrinth
Helmet,Enchantment Ice Shot Damage 2,40% increased Ice Shot Damage,Ice Shot,Eternal Labyrinth
Helmet,Enchantment Ice Spear Damage 2,40% increased Ice Spear Damage,Ice Spear,Eternal Labyrinth
Helmet,Enchantment Ice Trap Damage 2,40% increased Ice Trap Damage,Ice Trap,Eternal Labyrinth
Helmet,Enchantment Incinerate Damage 2,40% increased Incinerate Damage,Incinerate,Eternal Labyrinth
Helmet,Enchantment Infernal Blow Damage 2,40% increased Infernal Blow Damage,Infernal Blow,Eternal Labyrinth
Helmet,Enchantment Infernal Cry Damage 2,40% increased Infernal Cry Damage,Infernal Cry,Eternal Labyrinth
Helmet,Enchantment Kinetic Blast Damage 2,40% increased Kinetic Blast Damage,Kinetic Blast,Eternal Labyrinth
Helmet,Enchantment Double Slash Critical Strikes 1,40% increased Lacerate Critical Strike Chance,Lacerate,Merciless Labyrinth
Helmet,Enchantment Lacerate Damage 2,40% increased Lacerate Damage,Lacerate,Eternal Labyrinth
Helmet,Enchantment Leap Slam Damage 2,40% increased Leap Slam Damage,Leap Slam,Eternal Labyrinth
Helmet,Enchantment Lightning Arrow Damage 2,40% increased Lightning Arrow Damage,Lightning Arrow,Eternal Labyrinth
Helmet,Enchantment Lightning Strike Damage 2,40% increased Lightning Strike Damage,Lightning Strike,Eternal Labyrinth
Helmet,Enchantment Lightning Tendrils Critical Strike Chance 1,40% increased Lightning Tendrils Critical Strike Chance,Lightning Tendrils,Merciless Labyrinth
Helmet,Enchantment Lightning Tendrils Damage 2,40% increased Lightning Tendrils Damage,Lightning Tendrils,Eternal Labyrinth
Helmet,Enchantment Lightning Trap Damage 2,40% increased Lightning Trap Damage,Lightning Trap,Eternal Labyrinth
Helmet,Enchantment Lightning Trap Shock Effect 2,40% increased Lightning Trap Lightning Ailment Effect,Lightning Trap,Eternal Labyrinth
Helmet,Enchantment Lightning Warp Damage 2,40% increased Lightning Warp Damage,Lightning Warp,Eternal Labyrinth
Helmet,Enchantment Magma Orb Damage 2,40% increased Magma Orb Damage,Rolling Magma,Eternal Labyrinth
Helmet,Enchantment Manabond Damage 2,40% increased Manabond Damage,Manabond,Eternal Labyrinth
Helmet,Enchantment Molten Strike Damage 2,40% increased Molten Strike Damage,Molten Strike,Eternal Labyrinth
Helmet,Enchantment Orb Of Storms Damage 2,40% increased Orb of Storms Damage,Orb of Storms,Eternal Labyrinth
Helmet,Enchantment Power Siphon Damage 2,40% increased Power Siphon Damage,Power Siphon,Eternal Labyrinth
Helmet,Enchantment Puncture Damage 2,40% increased Puncture Damage,Puncture,Eternal Labyrinth
Helmet,Enchantment Rage Vortex Damage 2,40% increased Rage Vortex Damage,Rage Vortex,Eternal Labyrinth
Helmet,Enchantment Rain Of Arrows Damage 2,40% increased Rain of Arrows Damage,Rain of Arrows,Eternal Labyrinth
Helmet,Enchantment Reave Damage 2,40% increased Reave Damage,Reave,Eternal Labyrinth
Helmet,Enchantment Reckoning Damage 2,40% increased Reckoning Damage,Reckoning,Eternal Labyrinth
Helmet,Enchantment Righteous Fire Damage 2,40% increased Righteous Fire Damage,Righteous Fire,Eternal Labyrinth
Helmet,Enchantment Riposte Damage 2,40% increased Riposte Damage,Riposte,Eternal Labyrinth
Helmet,Enchantment Rolling Magma Damage 2,40% increased Rolling Magma Damage,Rolling Magma,Eternal Labyrinth
Helmet,Enchantment Scorching Ray Damage 2,40% increased Scorching Ray Damage,Scorching Ray,Eternal Labyrinth
Helmet,Enchantment Searing Bond Damage 2,40% increased Searing Bond Damage,Searing Bond,Eternal Labyrinth
Helmet,Enchantment Searing Bond Totem Placement Speed 1,40% increased Searing Bond Totem Placement Speed,Searing Bond,Merciless Labyrinth
Helmet,Enchantment Shield Charge Damage 2,40% increased Shield Charge Damage,Shield Charge,Eternal Labyrinth
Helmet,Enchantment Shield Crush Damage 2,40% increased Shield Crush Damage,Shield Crush,Eternal Labyrinth
Helmet,Enchantment Shock Nova Damage 2,40% increased Shock Nova Damage,Shock Nova,Eternal Labyrinth
Helmet,Enchantment Shockwave Totem Damage 2,40% increased Shockwave Totem Damage,Shockwave Totem,Eternal Labyrinth
Helmet,Enchantment Spark Damage 2,40% increased Spark Damage,Spark,Eternal Labyrinth
Helmet,Enchantment Spectral Helix Damage 2,40% increased Spectral Helix Damage,Spectral Helix,Eternal Labyrinth
Helmet,Enchantment Spectral Shield Throw Damage 2,40% increased Spectral Shield Throw Damage,Spectral Shield Throw,Eternal Labyrinth
Helmet,Enchantment Spectral Throw Damage 2,40% increased Spectral Throw Damage,Spectral Throw,Eternal Labyrinth
Helmet,Enchantment Split Arrow Damage 2,40% increased Split Arrow Damage,Split Arrow,Eternal Labyrinth
Helmet,Enchantment Static Strike Damage 2,40% increased Static Strike Damage,Static Strike,Eternal Labyrinth
Helmet,Enchantment Storm Burst Damage 2,40% increased Storm Burst Damage,Storm Burst,Eternal Labyrinth
Helmet,Enchantment Storm Call Damage 2,40% increased Storm Call Damage,Storm Call,Eternal Labyrinth
Helmet,Enchantment Storm Rain Damage 2,40% increased Storm Rain Damage,Storm Rain,Eternal Labyrinth
Helmet,Enchantment Sweep Damage 2,40% increased Sweep Damage,Sweep,Eternal Labyrinth
Helmet,Enchantment Tempest Shield Damage 2,40% increased Tempest Shield Damage,Tempest Shield,Eternal Labyrinth
Helmet,Enchantment Tornado Shot Damage 2,40% increased Tornado Shot Damage,Tornado Shot,Eternal Labyrinth
Helmet,Enchantment Unearth Damage 2,40% increased Unearth Damage,Unearth,Eternal Labyrinth
Helmet,Enchantment Vengeance Damage 2,40% increased Vengeance Damage,Vengeance,Eternal Labyrinth
Helmet,Enchantment Vigilant Strike Damage 2,40% increased Vigilant Strike Damage,Vigilant Strike,Eternal Labyrinth
Helmet,Enchantment Viper Strike Damage 2,40% increased Viper Strike Damage,Viper Strike,Eternal Labyrinth
Helmet,Enchantment Volatile Dead Damage 2,40% increased Volatile Dead Damage,Volatile Dead,Eternal Labyrinth
Helmet,Enchantment Voltaxic Burst Damage 2,40% increased Voltaxic Burst Damage,Voltaxic Burst,Eternal Labyrinth
Helmet,Enchantment Vortex Damage 2,40% increased Vortex Damage,Vortex,Eternal Labyrinth
Helmet,Enchantment Whirling Blades Damage 2,40% increased Whirling Blades Damage,Whirling Blades,Eternal Labyrinth
Helmet,Enchantment Wild Strike Damage 2,40% increased Wild Strike Damage,Wild Strike,Eternal Labyrinth
Helmet,Enchantment Storm Burst Avoid Stun While Casting 2,45% chance to Avoid interruption from Stuns while Casting Storm Burst,Storm Burst,Eternal Labyrinth
Helmet,Enchantment Power Siphon Percent Chance To Gain Power Charge On Kill 2,45% Chance to gain an additional Power Charge on Kill with Power Siphon,Power Siphon,Eternal Labyrinth
Helmet,Enchantment Assassins Mark Duration 2,45% increased Assassin's Mark Duration,Assassin's Mark,Eternal Labyrinth
Helmet,Enchantment Bone Offering Duration 2,45% increased Bone Offering Duration,Bone Offering,Eternal Labyrinth
Helmet,Enchantment Conductivity Duration 2,45% increased Conductivity Duration,Conductivity,Eternal Labyrinth
Helmet,Enchantment Despair Duration 2,45% increased Despair Duration,Despair,Eternal Labyrinth
Helmet,Enchantment Elemental Weakness Duration 2,45% increased Elemental Weakness Duration,Elemental Weakness,Eternal Labyrinth
Helmet,Enchantment Enfeeble Duration 2,45% increased Enfeeble Duration,Enfeeble,Eternal Labyrinth
Helmet,Enchantment Fire Trap Burning Ground Duration 2,45% increased Fire Trap Burning Ground Duration,Fire Trap,Eternal Labyrinth
Helmet,Enchantment Flammability Duration 2,45% increased Flammability Duration,Flammability,Eternal Labyrinth
Helmet,Enchantment Flesh Offering Duration 2,45% increased Flesh Offering Duration,Flesh Offering,Eternal Labyrinth
Helmet,Enchantment Frostbite Duration 2,45% increased Frostbite Duration,Frostbite,Eternal Labyrinth
Helmet,Enchantment Poachers Mark Duration 2,45% increased Poacher's Mark Duration,Poacher's Mark,Eternal Labyrinth
Helmet,Enchantment Puncture Duration 2,45% increased Puncture Duration,Puncture,Eternal Labyrinth
Helmet,Enchantment Punishment Duration 2,45% increased Punishment Duration,Punishment,Eternal Labyrinth
Helmet,Enchantment Rejuvination Totem Life Regeneration 2,45% increased Rejuvenation Totem Aura Effect,Rejuvenation Totem,Eternal Labyrinth
Helmet,Enchantment Spirit Offering Duration 2,45% increased Spirit Offering Duration,Spirit Offering,Eternal Labyrinth
Helmet,Enchantment Static Strike Duration 2,45% increased Static Strike Duration,Static Strike,Eternal Labyrinth
Helmet,Enchantment Temporal Chains Duration 2,45% increased Temporal Chains Duration,Temporal Chains,Eternal Labyrinth
Helmet,Enchantment Vigilant Strike Fortify Duration 2,45% increased Vigilant Strike Fortify Duration,Vigilant Strike,Eternal Labyrinth
Helmet,Enchantment Vulnerability Duration 2,45% increased Vulnerability Duration,Vulnerability,Eternal Labyrinth
Helmet,Enchantment Warlords Mark Duration 2,45% increased Warlord's Mark Duration,Warlord's Mark,Eternal Labyrinth
Helmet,Enchantment Ball Lightning Projectile Speed 2,45% reduced Ball Lightning Projectile Speed,Ball Lightning,Eternal Labyrinth
Boots,Enchantment Spell Dodge 1,5% chance to Dodge Spell Hits if you've,,Cruel Labyrinth
Boots,Enchantment Stun Avoidance 1,50% chance to Avoid being Stunned if you've Killed Recently,,Cruel Labyrinth
Boots,Enchantment Mana Regeneration 2,50% increased Mana Regeneration Rate if you've cast a Spell Recently,,Merciless Labyrinth
Helmet,Enchantment Charged Dash Dodge When Finished Channelling 2,6% chance to Dodge Attack Hits if you have finished Channelling Charged Dash Recently,Charged Dash,Eternal Labyrinth
Boots,Enchantment Attack Dodge 1,6% Chance to Dodge Attack Hits if you've taken a Critical Strike Recently,,Cruel Labyrinth
Helmet,Enchantment Blade Flurry Dodge Per Stack 1,6% chance to Dodge Attack Hits while at maximum Blade Flurry stages,Blade Flurry,Merciless Labyrinth
Boots,Enchantment Spell Dodge 2,6% chance to Dodge Spell Hits if you've,,Merciless Labyrinth
Boots,Enchantment Status Ailments 1,"6% chance to Freeze, Shock and Ignite if you haven't Crit Recently",,Cruel Labyrinth
Helmet,Enchantment Flicker Strike Damage Per Frenzy Charge 1,6% increased Flicker Strike Damage per Frenzy Charge,Flicker Strike,Merciless Labyrinth
Helmet,Enchantment Frenzy Damage Per Frenzy Charge 1,6% increased Frenzy Damage per Frenzy Charge,Frenzy,Merciless Labyrinth
Boots,Enchantment Movement Speed 1,6% increased Movement Speed if you haven't been Hit Recently,,Cruel Labyrinth
Helmet,Enchantment Shield Charge Damage Per Target Hit 1,6% increased Shield Charge Damage per Enemy Hit,Shield Charge,Merciless Labyrinth
Helmet,Enchantment Bladefall Critical Strike Chance 1,60% increased Bladefall Critical Strike Chance,Bladefall,Merciless Labyrinth
Boots,Enchantment Critical Strike Chance 1,60% increased Critical Strike Chance if you haven't Crit Recently,,Cruel Labyrinth
Helmet,Enchantment Decoy Totem Life 2,60% increased Decoy Totem Life,Decoy Totem,Eternal Labyrinth
Helmet,Enchantment Double Strike Critical Strike Chance 1,60% increased Double Strike Critical Strike Chance,Double Strike,Merciless Labyrinth
